id,name,price_numeric,review_scores_location
40631322,🏳️‍🌈 #5 Walk to Wilton Drive,40.0,4.9
53569726,#A Small Studio with Private Patio & Shared Pool,40.0,4.84
1278278374136823736,Lillian’s quiet clean retreat,40.0,4.83
54019812,Gated Resort Style Community(Pembrok Lakes Mall),40.0,4.8
43070263,Luxury Room & Bathroom/Free parking/All included,40.0,4.78
34407748,Welcome to Sunshine Drive,40.0,4.74
587011113697204051,Private room &Bath near Fort Lauderdale beaches,40.0,4.73
1227772346063565196,Weekly/Monthly rentals Available,40.0,4.5
1445022329367172651,"Chic 1BR Studio – Pets Welcome, Garden & BBQ",41.0,5.0
1406824276317161769,Celia's Private Room with Private Entrance,41.0,5.0
1494933009065697506,Beautiful private space,41.0,5.0
1497911497173042385,PJhome6 Queen,41.0,5.0
40643587,🏳️‍🌈 #7 Walk to Wilton Drive,41.0,4.96
588192002193406175,#4: Real Office Desk & Chair,41.0,4.94
1431593540897848265,Comfy private Room • 5 Min to Hard Rock Hotel Fl,41.0,4.82
651268631033667740,Delightful 1 bedroom tiny home with pool access,41.0,4.7
24597575,Simple room close to the Beach,42.0,5.0
15256955,Room # B Cozy Queen Bed with pool amenities,42.0,5.0
25377674,Close to beach with pool oasis & zen garden,42.0,4.89
618349645817030411,Spacious Cozy Private Room,42.0,4.82
1166950191075335742,Lovely private studio,42.0,4.79
39941548,Welcome to Sunshine Place,42.0,4.58
878526422579410959,Modern Room in Prime Location,43.0,5.0
984919706901100372,Master Bedroom with private Bathroom,43.0,5.0
1005865985261831236,Lovely room with private bath.,43.0,5.0
1105157778667407746,(1411B) Bedroom in Pompano Beach,43.0,5.0
5238751,Cozy Room,43.0,4.96
1342054277622745389,Two Beds Large Room,43.0,4.95
621449021484696008,Please pick the mangos!,43.0,4.92
21635365,Private Bed and Bath in a quiet and new Townhome,43.0,4.9
1394501565419011811,"Cozy Walnut Room | Pool, Coffee, Wi-Fi, Smart TV",43.0,4.89
41106244,🏳️‍🌈 #1 Walk to Wilton Drive,43.0,4.87
38951244,Master Bedroom,43.0,4.85
1134744686501706779,The little dream RV,43.0,4.82
908925127051224688,Really Small but Newly Renovated,43.0,4.8
50658975,Peaceful Haven - Cozy Room w/ Netflix & Pool,43.0,4.73
325734,Hidden Gem for two,43.0,4.72
507264438778231897,Waves: Beach Town Cozy Studio Apartment,43.0,4.7
6231165,Sunny Twin Daybed 9min to Beach/Boca Rsrt,43.0,4.64
826103440548384546,Sunny Retreat - Private Room,43.0,4.62
635582121559407456,Hollywood Beach Boutique Vacation Studio LB4,43.0,4.55
1315848838513555641,Cómoda Habitación cerca al mar.,43.0,4.5
882427328983443887,Life on a Golf Course/SwimPool/FullCable/Netflix,44.0,5.0
9092214,private room in sunrise,44.0,5.0
1360893432440527786,Private room with bathroom.,44.0,5.0
1362546961104758175,Eden Escape: Walk to FLT Beach - 1104,44.0,5.0
1029081677561303599,Room in a House Near Hospitals.,44.0,5.0
1029101536954692460,Cozy room with 2 Twin Daybeds in House,44.0,5.0
1349604920713826398,"Fly-In, Chill-Out . Cozy Retreat | Relax & Unwind",44.0,4.95
33988723,Rose room,44.0,4.93
41201577,✨ #3 Studio close to Bike Rental and Beach,44.0,4.93
44008816,#2:  Walk to Wilton Drive,44.0,4.92
894095076065918433,Parking & Queen Bed,44.0,4.92
996427125386038725,Stylish Suite Near Shops with Free Parking,44.0,4.9
26964913,The Guesthouse #5,44.0,4.9
507107022229672809,Waves: Beach Town Cozy Studio Apartment,44.0,4.88
53659197,Hotel style APT King Bed/Pool/parking/Beach,44.0,4.88
590095996310113821,Cozy room private entrance near Sawgrass Mills/BBT,44.0,4.86
42892860,Elegant Master-Suite/Private Bath/Free Parking!,44.0,4.84
45992429,Convenient Lauderdale Getaway Large Room W/ Desk,44.0,4.82
1115329926766820212,Private Room #1 near/Hard Rock,44.0,4.79
9804153,Lake view comfortable room & bathroom,44.0,4.77
43214194,Luxury Room & Bathroom/All included/Free parking,44.0,4.72
1249203370797479788,Furnished room in townhome,44.0,4.7
1408712516617987421,Beautiful room with TV for 1.,44.0,4.67
1115326157307861561,Private Room #4 near/Hard Rock,44.0,4.65
1457975845922385731,Santuaria 7,44.0,4.5
1421086126611621893,Getaway Between Miami and Ft. Lauderdale.,45.0,5.0
780528339199950456,Lagoon Bedroom Share Bathroom Dania Beach Jai Alai,45.0,5.0
1247266322346670977,Chic bedroom in amazing location,45.0,5.0
1263254704036285325,Private Room - On a Golf Course,45.0,5.0
1456147225575765583,Private Room. No Shared spaces. Close to airport.,45.0,5.0
1362004536882332941,Bed with Free Parking,45.0,5.0
1375639204159732701,Inviting room in Davie,45.0,5.0
1029106946999982886,Cozy Bedroom in a House in Pembroke Pines.,45.0,5.0
1445762273909139696,Cheerful Bedroom in our home,45.0,5.0
759736868951120403,"Pompano Beach House/Priv Room, Entry & Shower",45.0,5.0
1086356607418152924,Lake view Long-term rental,45.0,5.0
858179819416014281,sitio cerca de la playa,45.0,5.0
1087810263542326159,"A Blessed Space, waiting for you",45.0,5.0
1430004490517855826,Lakeside Private Room & Bathroom,45.0,5.0
1148609227657073980,"Modest, quiet, clean and cozy!",45.0,5.0
52393195,The Retreat #5,45.0,4.95
43498233,A private room  in our home near Wilton Manors,45.0,4.93
